battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
740,0,1.8,0,1,0,12,0.2,123,1,11,935,1147,1105,7,6,19,0,1,1,0
676,0,2.2,0,1,1,39,0.2,84,1,5,864,1011,2064,13,7,6,1,0,0,1
503,1,1.8,1,1,1,13,0.7,131,1,4,1495,1688,3117,19,6,9,1,0,1,3
1020,0,1.5,0,13,1,7,0.7,96,3,18,870,1613,1142,13,9,8,1,0,1,1
896,0,1.0,1,3,1,4,0.3,111,1,4,1379,1469,1060,12,10,4,1,1,1,1
1824,1,0.8,0,4,1,19,0.9,143,2,5,1055,1738,2381,14,1,5,1,0,0,2
1512,0,0.6,1,1,1,54,0.4,134,3,2,220,1838,3366,7,3,11,1,0,1,3
1053,0,2.9,0,7,0,42,0.9,126,6,17,419,1261,1339,17,0,14,0,0,1,0
1944,1,1.8,1,0,1,31,0.8,87,4,10,1111,1362,2560,7,3,8,1,0,0,3
1174,0,0.7,1,1,1,25,0.8,91,2,8,1097,1461,285,19,7,3,1,0,1,0
627,1,1.6,1,3,1,12,0.2,131,7,17,447,819,2476,17,1,10,1,0,0,1
1602,0,2.7,0,4,1,46,0.6,118,1,5,273,1062,1862,16,9,2,1,0,1,1
1733,1,1.5,1,4,1,6,0.9,170,1,15,590,997,3488,6,4,10,1,1,1,3
586,0,1.4,1,10,1,8,0.5,142,8,14,116,598,3178,9,7,10,1,0,1,2
1528,0,2.4,0,2,0,37,0.2,156,8,3,306,564,733,15,0,14,1,1,0,0
875,0,0.7,0,2,0,23,0.1,110,7,7,300,1316,756,14,5,6,0,0,0,0
1602,0,0.6,0,12,0,58,0.4,170,1,13,1259,1746,3622,17,2,17,0,1,1,3
1426,0,1.6,0,4,1,12,0.7,174,5,16,1573,1694,1277,14,9,5,1,0,0,1
1370,0,1.4,0,5,1,6,0.2,158,6,8,1392,1783,3703,13,10,11,1,1,0,3
609,1,0.5,0,4,1,10,0.1,81,6,6,113,1524,1905,16,3,18,1,1,1,1
840,0,1.2,1,5,1,15,0.3,178,6,8,526,1728,2636,12,2,6,1,1,0,2
991,0,2.0,0,2,1,12,0.3,158,5,6,1209,1678,2014,11,9,10,1,0,0,2
1724,1,1.8,0,0,1,9,0.8,100,2,1,655,828,3056,18,16,6,1,0,0,3
584,1,1.8,0,0,1,19,0.3,168,3,0,1123,1622,465,12,8,4,1,1,0,0
860,1,1.3,1,1,1,49,0.7,141,6,13,692,979,3869,16,14,20,1,1,1,3
1541,1,2.8,1,10,1,28,0.2,165,5,15,796,1052,1108,12,1,7,1,0,1,1
615,1,0.5,1,7,0,58,0.5,130,5,8,1021,1958,1906,14,5,5,1,0,0,1
912,1,2.8,1,6,1,46,0.4,84,4,11,995,1310,851,8,4,4,1,1,1,0
1278,1,1.2,0,10,1,60,0.6,172,7,14,1244,1504,3142,11,4,19,1,0,1,3
1365,0,0.6,0,0,1,31,0.3,125,4,0,293,970,1300,14,7,13,1,0,1,0
1702,0,1.0,0,7,0,36,0.1,177,5,9,1240,1931,1430,8,6,10,0,0,0,2
589,1,0.5,0,1,1,59,0.7,146,8,4,759,1858,362,16,10,6,1,1,1,0
1347,0,1.5,1,10,0,56,0.3,95,1,19,398,1528,2456,13,0,13,1,1,1,2
1644,0,2.8,0,0,1,44,1.0,137,8,0,358,791,2360,7,4,19,1,0,0,2
956,0,1.9,1,1,0,42,0.1,133,7,11,403,1614,3700,10,0,7,1,1,0,3
1089,0,1.4,1,10,0,2,0.1,153,7,20,211,1409,2620,7,5,13,1,0,0,2
871,0,0.6,0,2,0,52,0.1,178,3,3,194,1437,437,14,7,17,1,0,0,0
664,0,1.5,0,5,1,6,0.9,164,2,19,1076,1472,3774,11,5,18,1,0,0,3
1874,1,0.6,0,1,0,19,0.8,192,2,9,1238,1418,1218,15,10,17,0,1,0,1
1928,0,2.6,0,5,0,5,0.8,162,5,16,229,1004,696,14,12,15,1,1,1,0
888,0,2.6,1,2,1,33,0.4,198,2,17,327,1683,3407,12,1,20,1,0,0,3
1077,1,1.7,1,1,0,58,0.8,86,7,13,135,1892,3902,9,3,3,1,0,0,3
1023,1,2.3,1,5,1,30,0.2,80,8,7,5,1744,2086,10,0,19,1,1,1,1
1426,1,0.8,0,2,1,42,0.6,84,3,10,715,1163,1356,15,9,16,1,0,1,1
831,0,1.7,1,7,1,26,0.7,177,5,11,511,621,1704,6,5,20,1,1,1,0
1496,1,1.3,1,0,1,6,0.5,85,3,9,549,1383,3571,16,1,11,1,1,1,3
1433,1,2.3,0,2,1,5,0.1,129,5,11,420,784,2132,18,15,19,1,0,1,1
1095,1,2.6,1,0,1,44,0.7,103,4,5,838,1066,3209,13,11,8,1,1,1,3
643,1,0.7,1,3,1,23,0.8,156,1,9,314,1400,2096,13,6,2,1,0,0,1
1142,1,1.1,0,0,1,6,0.5,198,4,0,739,1766,1273,19,0,6,1,0,0,1
730,1,0.5,1,3,1,27,0.1,112,5,10,62,846,3623,9,4,15,1,1,0,2
1901,1,0.5,0,5,1,41,0.6,131,2,17,3,1662,368,5,1,12,1,0,0,0
1510,0,0.6,1,1,0,32,0.7,135,3,8,963,1520,854,8,2,10,1,0,1,1
1924,0,2.6,0,0,1,59,0.9,136,6,0,1438,1923,3646,10,9,16,1,0,1,3
1825,0,1.1,1,13,1,17,0.1,157,4,18,1621,1773,3130,12,4,2,1,0,1,3
1275,1,0.5,1,3,1,5,0.2,152,1,9,19,501,3784,13,4,4,1,1,0,3
987,1,2.3,0,9,0,17,0.8,124,7,17,887,1274,3885,11,0,14,1,1,0,3
1538,1,2.3,0,6,1,13,0.2,121,7,7,567,986,1494,18,10,12,1,1,1,1
1965,1,0.5,0,4,1,29,0.5,149,5,13,584,676,2973,11,1,20,1,1,1,3
808,0,1.9,0,7,0,20,0.8,185,6,14,496,974,1471,13,4,11,0,1,0,0
712,0,0.5,0,6,0,27,0.5,86,2,11,1245,1309,2001,11,10,12,1,1,1,1
1507,1,0.9,1,0,1,42,0.4,123,5,0,682,888,1486,15,3,19,1,0,0,1
912,0,0.7,0,3,0,47,0.9,182,3,6,724,794,1321,7,2,6,0,1,1,0
769,1,1.2,0,2,0,17,0.1,95,8,4,1384,1454,1877,18,2,11,0,0,1,1
948,0,2.3,0,14,0,22,0.1,173,5,20,257,1654,3499,11,7,19,1,1,1,3
507,1,1.9,1,0,1,39,0.7,142,1,0,17,1084,2124,6,0,12,1,1,0,1
1384,1,2.8,1,15,0,60,0.1,82,3,18,983,1210,1221,18,12,15,1,0,1,1
1766,1,1.3,0,1,0,29,0.5,194,8,20,439,1306,2316,19,2,6,0,0,1,2
1407,0,1.8,1,5,1,16,0.2,170,4,6,925,1206,1068,6,0,8,1,1,0,1
614,0,2.9,1,3,1,24,0.2,94,4,7,409,603,1930,13,12,4,1,0,1,1
1972,0,2.9,0,9,0,14,0.4,196,7,18,293,952,1316,8,1,8,1,1,0,1
1039,0,0.5,1,8,0,47,0.2,130,8,9,384,1878,1742,18,12,15,1,0,0,1
511,1,3.0,1,5,1,34,0.9,125,8,13,149,1285,3265,14,7,14,1,0,0,2
1811,1,2.5,0,4,1,5,0.6,98,4,16,447,568,2700,13,7,8,1,1,1,2
1159,0,1.5,0,3,0,36,0.4,104,4,8,717,1206,2115,8,7,18,0,0,0,2
1848,0,1.3,1,7,0,12,0.1,178,2,19,195,533,3915,9,7,8,0,0,1,3
1988,1,0.5,0,0,1,16,0.1,94,8,1,153,696,3144,16,2,14,1,0,0,3
1469,0,0.5,0,3,1,58,0.5,150,7,8,1699,1850,1571,17,16,2,1,0,0,2
1423,0,0.6,0,12,0,44,0.8,131,5,13,501,640,2253,10,8,9,0,0,0,1
1974,0,0.5,1,9,0,10,0.8,145,6,12,530,1496,1433,6,1,17,0,0,0,1
835,0,0.8,1,2,1,42,0.8,128,5,18,396,1378,2583,15,2,13,1,1,1,2
1429,0,0.6,0,8,0,42,0.9,151,5,9,670,1552,1817,6,1,16,1,0,0,1
947,1,0.5,0,1,1,51,0.1,144,2,15,193,887,2915,17,1,6,1,1,1,2
1446,1,2.8,1,0,1,18,0.3,178,8,1,351,1769,3340,8,0,16,1,1,1,3
1332,0,1.3,1,5,1,7,0.8,168,7,19,846,855,2790,19,11,10,1,1,0,2
1498,1,1.2,1,0,1,14,0.1,191,4,1,111,1167,577,14,12,12,1,1,0,0
1576,1,0.9,1,0,1,14,0.4,173,2,4,1213,1386,3220,17,2,6,1,1,0,3
1398,0,1.6,1,8,1,26,0.8,150,1,12,755,1284,3488,14,3,11,1,1,0,3
1885,0,2.4,1,12,1,14,0.6,92,4,15,1406,1517,1277,9,6,16,1,0,1,1
798,1,0.5,1,7,0,2,0.8,148,2,15,497,627,3593,14,9,3,0,1,0,2
1436,0,2.5,1,0,1,42,0.9,124,8,1,1826,1836,2736,12,5,19,1,1,0,3
1998,1,1.2,0,8,0,31,0.6,196,8,19,50,1356,2311,17,9,18,1,1,0,2
1321,1,1.3,0,0,1,63,0.4,109,8,9,817,941,1464,7,6,16,1,1,1,1
1021,0,1.3,0,7,0,9,0.7,192,2,12,901,1793,1355,6,1,14,1,1,0,1
1339,1,2.3,1,0,0,40,0.1,123,2,1,212,1269,2382,6,4,7,1,0,1,2
1210,1,1.6,1,9,0,57,0.5,111,4,20,329,1039,1886,16,0,17,1,0,1,1
1949,1,0.5,1,2,1,31,0.1,145,5,9,837,1182,832,7,3,19,1,0,0,1
882,0,0.7,1,9,1,28,0.2,151,6,16,248,884,751,19,11,8,1,0,1,0
1549,1,1.5,1,0,1,27,0.4,113,5,7,632,1162,436,10,8,11,1,0,0,0
1991,0,2.2,1,1,1,42,0.7,82,1,13,366,613,722,6,5,10,1,1,0,0
796,0,0.5,0,2,0,12,0.5,114,1,8,174,518,1075,7,3,2,0,1,0,0
1012,0,0.5,1,4,0,39,0.1,161,4,6,882,1195,2802,8,0,10,1,1,0,2
1318,0,1.9,1,0,1,11,0.8,188,2,15,688,1591,1780,12,10,2,1,0,0,1
1708,0,0.8,0,8,1,14,0.9,197,4,16,263,1345,1247,19,16,16,1,0,0,1
598,1,0.8,1,8,1,62,0.1,117,8,9,118,764,3066,11,2,19,1,1,0,2
541,1,2.3,0,4,0,51,0.4,200,8,17,1012,1226,403,11,2,12,0,0,0,0
818,0,0.5,1,2,1,23,0.2,192,5,17,586,1552,2518,19,12,3,1,1,0,2
1414,0,0.5,0,0,1,15,0.8,168,2,0,294,1233,1069,18,6,14,1,0,0,0
601,1,1.7,1,3,1,6,0.8,169,4,11,818,1827,2651,14,8,9,1,0,1,2
561,1,2.8,1,2,1,40,0.1,99,7,6,426,865,2974,15,12,19,1,0,1,2
1616,1,2.3,1,3,0,52,0.1,100,5,8,151,1133,657,7,3,2,1,1,0,0
1263,1,1.4,1,1,1,32,0.4,103,2,2,409,644,3372,18,13,10,1,1,0,3
1604,1,1.9,1,0,1,63,0.6,93,5,2,641,1156,1464,15,9,20,1,1,0,1
539,0,2.0,1,1,0,24,0.5,86,4,2,958,967,1326,7,4,3,1,1,0,0
1071,0,2.6,0,0,0,49,0.3,199,4,5,1328,1970,3393,6,5,7,1,0,0,3
826,0,0.5,1,0,1,57,0.5,135,2,0,354,530,323,17,3,7,1,0,1,0
771,0,2.9,0,2,0,62,0.7,106,1,8,1709,1781,1628,9,3,6,0,1,0,1
1811,0,2.9,0,0,0,33,0.2,132,8,2,1099,1553,2610,8,3,13,1,1,0,3
1842,1,2.2,1,7,0,56,0.4,179,4,10,783,1227,3721,16,11,4,0,1,1,3
1420,0,2.8,1,1,0,50,0.1,100,8,8,194,1393,763,17,1,17,0,1,1,0
